Airplane ID,Drag Coefficient,Lift Coefficient
10155655850468db78d106ce0a280f87,5.719740e-01,5.834239e-01
1021a0914a7207aff927ed529ad90a11,4.369772e-01,-8.949572e-01
1026dd1b26120799107f68a9cb8e3c,5.821894e-01,-4.556690e-01
103c9e43cdf6501c62b600da24e0965,4.342265e-01,1.808596e-01
105f7f51e4140ee4b6b87e72ead132ed,5.399637e-01,9.569389e-01
1066b65c30d153e04c3a35cee92bb95b,6.154837e-01,-1.393299e-01
106dfe858cb8fbc2afc6b80d80a265ab,3.321974e-01,1.024046e-02
10aa040f470500c6a66ef8df4909ded9,2.741774e-01,-1.875576e+00
10af5de930178a161596c26b5af806fe,0.000000e+00,0.000000e+00
10c7cdfdffe2243b88a89a28f04ce622,2.176190e-01,1.129138e+00
10cfc2090a2ade124c3a35cee92bb95b,3.787316e-01,-1.665860e-01
10db820f0e20396a492c7ca609cb0182,5.869127e-01,3.339615e-01
10e0a7255d279a419751c7a6f15617f4,3.160443e-01,1.278572e-01
10e4331c34d610dacc14f1e6f4f4f49b,4.637166e-01,1.718504e-01
10eeb119fd5508e0d6d949577c389a84,3.557772e-01,-8.426470e-02
110f6dbf0e6216e9f9a63e9a8c332e52,4.548968e-01,-6.649935e-01
112ca5420188df4bd90bfc986bc4c94d,5.683730e-01,-2.198165e-01
1169d987dbbce76775f4ea0b85a53249,5.004364e-01,6.813048e-01
117830993cc5887726587cb13c78fb9b,3.309849e-01,-2.454253e-01
117861b9ebca4f17c69cb28fb4b4d257,3.754120e-01,6.748604e-02
118e8142a8cb1fe19a4a28ef635593ce,5.411828e-01,3.979530e-01
11d2af04fad0a7e2ce19d55bc5e6a406,4.287829e-01,6.046659e-01
11def84f9fe8ab0acd726e804e5d7a,0.000000e+00,0.000000e+00
1203825bf97bc3524722e1824a086fad,8.896244e-01,2.724102e+00
121b5c1c81aa77906b153e6e0582b3ac,8.643366e-01,3.857565e-02
121e9fceb90440efed79d3bd546890bd,1.294212e+00,2.737783e+00
122776d17b6a118086da73d36506db6f,4.473174e-01,-1.797869e+00
122963149f6a04272620819ddac40644,0.000000e+00,0.000000e+00
123ac29b0aac8c8e5d07633dda45110,0.000000e+00,0.000000e+00
123ba1ebe2ee533ef0c45eff2a917cc9,1.405159e+00,1.721583e+00
123bd9e948881939c38a1d3458dafa1b,3.512075e-01,1.183609e+00
